t	x_tail	x_peak	y_peak	x_mean	x_nose	x_nose_ISC	volume	UmeanV	delta_min	delta_mean	delta_max	delta_min_smooth	delta_max_smooth
8.64627 14.285160064697266 11.843762288177976 0.355910806700327 15.372344017028809 18.88019561767578 ? 1.605371352218151 1.5433821710406075 0.05587587203384303 0.2422433180218569 0.49628372013906563 0 0
8.6717 13.765519142150879 11.882232095184463 0.3507986217192579 15.411646842956543 18.921649932861328 ? 1.6053646966586792 1.5448577517631634 0.0745442313836977 0.24228830735681128 0.4996563110098633 0 0
8.6935 12.06370735168457 15.084466181393683 0.3678498576325823 15.4453706741333 18.957223892211914 ? 1.6053872272956613 1.545974350495762 0.13213667928013623 0.1742551563832226 0.29080776513310935 0 0
8.71012 14.373025894165039 15.112244714461681 0.36879946120670226 15.470968246459961 18.983253479003906 ? 1.6054434189086595 1.5467759844297102 0.1311759212464046 0.17426260997515564 0.29147128784644816 0 0
8.72357 14.843376159667969 15.133864808123116 0.3692717918271586 15.491827964782715 19.005043029785156 ? 1.605405969858004 1.5474343186088402 0.13070854894760864 0.17435151330360482 0.2927590151955963 0 0
8.75189 14.89986515045166 12.032100933958905 0.3308770563572995 15.535655975341797 19.051910400390625 ? 1.605376153635677 1.5486825402598319 0.07255436020844075 0.24144678313574464 0.4947621720838948 0 0
8.77121 12.15102481842041 12.065103057432513 0.32777212650357496 15.565563201904297 19.082468032836914 ? 1.605411630696909 1.5495363423595863 0.06184604206666311 0.24134099053457542 0.4996516479636048 0 0
8.79539 12.18320369720459 15.241193789007044 0.37037768359217965 15.603082656860352 19.119827270507812 ? 1.6053959167317655 1.5505666029216092 0.12958934631800584 0.1757071642585335 0.3073256621800727 0 0
8.81829 12.229199409484863 15.278291740039787 0.3710583361529984 15.638484954833984 19.158340454101562 ? 1.6054445010920584 1.5514311216448164 0.12893501163816268 0.17574883798566637 0.3047998345039873 0 0
8.86981 12.342889785766602 12.226031510278409 0.31768874398950664 15.718474388122559 19.242321014404297 ? 1.6054221429078548 1.553375019728773 0.05953700267272316 0.24107598862085738 0.4987569522699912 0 0
8.89313 14.182636260986328 15.397606227049554 0.37024843614337577 15.75473690032959 19.277746200561523 ? 1.6053758314936406 1.5542617546658744 0.12972581551122458 0.17625367681440784 0.3013016511446649 0 0
8.91821 14.234092712402344 15.439790642920798 0.36831054529248203 15.793699264526367 19.320913314819336 ? 1.6054367676881494 1.5552578414206681 0.13165164894803583 0.17617793710991697 0.2961039907386791 0 0
8.94113 14.273414611816406 13.725512935776916 0.3053734331175193 15.82941722869873 19.355274200439453 ? 1.6054391362709617 1.5561660154380386 0.0600246458584906 0.2513360027834403 0.4996888805703662 0 0
8.96625 15.041319847106934 13.734683726856572 0.3092127455208226 15.868391036987305 19.397958755493164 ? 1.605350596860401 1.5572027200197267 0.06178749205790668 0.25043479792895873 0.4993277310166197 0 0
8.99099 15.3181734085083 15.568311385887124 0.3693209568295176 15.906960487365723 19.436859130859375 ? 1.6054374734892716 1.5581837515221466 0.13066492344166536 0.17575500869071747 0.2740233935731754 0 0
9.01683 12.587532043457031 15.456996246461499 0.335758751230434 15.947226524353027 19.47815704345703 ? 1.6054449125062176 1.5591386535611411 0.1311581977012966 0.20220373300450628 0.3946539815118521 0 0
9.04602 14.835055351257324 15.496545858580609 0.3359890855451296 15.992743492126465 19.528156280517578 ? 1.6054040204434377 1.5601432640119433 0.13130695565591838 0.20307301236039654 0.405642804637416 0 0
9.06743 15.462944984436035 13.82293786362584 0.3058101581883868 16.02620506286621 19.560810089111328 ? 1.6054094679465396 1.560851919054092 0.06063794461940586 0.2491806674590148 0.49992060158597623 0 0
9.09148 12.694131851196289 15.728367869860412 0.36443940346897175 16.063724517822266 19.600826263427734 ? 1.605415320459359 1.5615796928513743 0.13363940965143534 0.17661469540154207 0.2534668021879696 0 0
9.11508 14.93382740020752 15.593581467750656 0.33628158274412534 16.10070037841797 19.638017654418945 ? 1.605454490670564 1.5622968764853384 0.13227014351003497 0.20432956529389357 0.42965600602390364 0 0
9.14127 12.75874137878418 12.679086183020921 0.33521547388456346 16.141523361206055 19.681774139404297 ? 1.605357722606532 1.563078564825006 0.061746535963820126 0.2403496926393644 0.4996032565443609 0 0
9.16891 12.791757583618164 12.725140927254957 0.33878544093847157 16.184694290161133 19.725791931152344 ? 1.6055872891666698 1.5638832835027972 0.05880693347753252 0.2402945376064517 0.4962156682978552 0 0
9.19549 15.065460205078125 12.755611111514746 0.34281050585950107 16.226285934448242 19.768787384033203 ? 1.6054501786403312 1.5646661486728417 0.06239537478742435 0.24067085910278807 0.49939233163915003 0 0
9.21883 15.104986190795898 15.742765376848965 0.33890755783800985 16.2608699798584 19.807130813598633 ? 1.60246211331142 1.5647584950477778 0.14237994862315373 0.20728053502983035 0.49999999999999817 0 0
9.24627 15.145272254943848 15.778726672754251 0.3386458207260183 16.303844451904297 19.850440979003906 ? 1.602452082889534 1.5657567386259008 0.1450848083500822 0.20927065012993412 0.49999999999999817 0 0
9.26877 14.748894691467285 12.861056595924484 0.3497990517081302 16.339052200317383 19.8873233795166 ? 1.602430548207358 1.5666521974613554 0.05965746971804231 0.24119242262380114 0.49999999999999817 0 0
9.29245 14.781867027282715 12.890514031852861 0.35248522678440486 16.376169204711914 19.925376892089844 ? 1.6024582336746345 1.5676356254922654 0.059932602994473616 0.24145069394504592 0.49999999999999817 0 0
9.31771 14.817657470703125 12.921821578214951 0.35550789090848 16.41578483581543 19.967432022094727 ? 1.6024733643685634 1.5687064289344426 0.06174042643399241 0.2417335103922697 0.49999999999999817 0 0
9.34307 14.855240821838379 16.1231304498324 0.34936471041600814 16.45559310913086 20.007200241088867 ? 1.602458430429505 1.569818990325083 0.1506215787980728 0.17929368502219956 0.2180313745398772 0 0
9.36745 14.892134666442871 16.011850902421173 0.3373374273110332 16.493913650512695 20.046632766723633 ? 1.602425896583495 1.5708636000025404 0.15120480912279632 0.19732426865587294 0.49999999999999817 0 0
9.39208 14.929697036743164 13.01739037820179 0.36686640257432584 16.532615661621094 20.086517333984375 ? 1.6024504929892813 1.5719099986706144 0.06168034898546049 0.24248860336006056 0.49999999999999817 0 0
9.41824 14.97020149230957 16.112037148233867 0.3362262329716335 16.57379150390625 20.12904930114746 ? 1.602481748948882 1.5729671051219187 0.15133653941943082 0.1919353396543778 0.49999999999999817 0 0
9.4428 15.009089469909668 16.158312616044014 0.33483100418656675 16.61244010925293 20.168228149414062 ? 1.6024394772049182 1.5739144400922493 0.15154266958208212 0.18997971934883762 0.49999999999999817 0 0
9.46797 15.050830841064453 16.20113701471771 0.33670373774693957 16.65207862854004 20.209646224975586 ? 1.6024640247381778 1.5748509670879909 0.15200837493036495 0.18900906425231878 0.49999999999999817 0 0
9.49282 15.09040355682373 13.146593093681316 0.3792252476373626 16.69115447998047 20.249441146850586 ? 1.6024422410902015 1.575752002183298 0.04539344789282035 0.24355460020907266 0.49999999999999817 0 0
9.51715 15.130105972290039 16.413438689984112 0.34348295892871866 16.729557037353516 20.289640426635742 ? 1.602446967172769 1.5766384828424362 0.1531271995708029 0.17891573451536352 0.21451766361217378 0 0
9.53996 15.168132781982422 13.201890399401421 0.38465679018012405 16.76552391052246 20.326396942138672 ? 1.602525045735574 1.577485905465812 0.03509207723787533 0.24420370776378336 0.49999999999999817 0 0
9.56366 15.207419395446777 16.489670839318276 0.3418386579594201 16.8029842376709 20.363880157470703 ? 1.602434343183838 1.5783611753264333 0.15492817759595545 0.17858418039658447 0.21214327541792727 0 0
9.58775 15.248868942260742 13.25947112724273 0.39320962079027927 16.840913772583008 20.40287971496582 ? 1.602414904366752 1.57922758089171 0.026471998279898934 0.2448476668574338 0.49999999999999817 0 0
9.61343 15.292423248291016 16.44449965264013 0.3362098066452794 16.881484985351562 20.444284439086914 ? 1.602508531096979 1.5802337276954768 0.155318584032189 0.1844441726094328 0.49999999999999817 0 0
9.64012 15.339384078979492 16.48240665893982 0.33761762524114375 16.923660278320312 20.487937927246094 ? 1.6024411699430783 1.5811992339098164 0.1550284703764913 0.1847274000028286 0.49999999999999817 0 0
